point	county_name	state_name
40.3546687302939, -93.99206370718835	Harrison County	Missouri
38.26100393962544, -90.53771211550016	Jefferson County	Missouri
36.90550895818538, -94.33924648479106	Newton County	Missouri
37.11263544460557, -90.46142948091351	Wayne County	Missouri
48.54247976892869, -115.4050804689004	Lincoln County	Montana
46.496561209207364, -108.39808798703021	Musselshell County	Montana
48.29451254837105, -105.01639108329339	Roosevelt County	Montana
41.76516347660332, -73.7428576370818	Dutchess County	New York
43.419275918880366, -74.96236406426752	Herkimer County	New York
43.99882445460221, -76.05228241935566	Jefferson County	New York
34.61463251627448, -78.56369960049007	Bladen County	North Carolina
35.38678380806179, -80.55187902012433	Cabarrus County	North Carolina
36.44494344882792, -76.70052671319276	Gates County	North Carolina
35.48499546208996, -77.67576268659283	Greene County	North Carolina
35.63942631661824, -80.52475028343748	Rowan County	North Carolina
34.99158956870069, -78.37143758164979	Sampson County	North Carolina
47.02358405841524, -103.37630482396038	Billings County	North Dakota
48.77249764710872, -99.84095238425628	Rolette County	North Dakota
40.58718541087161, -83.16090323856426	Marion County	Ohio
39.75467205783775, -84.29066869149648	Montgomery County	Ohio
39.33762769639536, -83.05702582484534	Ross County	Ohio
44.90331598589869, -122.58466919247373	Marion County	Oregon
42.117496223858105, -80.09815348116192	Erie County	Pennsylvania
41.058068920071044, -75.33952563155033	Monroe County	Pennsylvania
40.00763607152962, -75.13394488611844	Philadelphia County	Pennsylvania
34.153701011797, -82.1259255512422	Greenwood County	South Carolina
44.02204407502886, -97.12937618869634	Lake County	South Dakota
35.51379812104265, -86.45888596525718	Bedford County	Tennessee
33.78194510883555, -82.74322644212793	Wilkes County	Georgia
21.211889929755916, -156.9540415781216	Kalawao County	Hawaii
45.844197684163355, -115.46748722813511	Idaho County	Idaho
38.754171483385406, -88.49023768870737	Clay County	Illinois
38.08155422495465, -88.53909639305267	Hamilton County	Illinois
37.785106535461814, -89.38207602161563	Jackson County	Illinois
40.05080988328024, -86.46871222694566	Boone County	Indiana
40.12087081862399, -87.24199188699977	Fountain County	Indiana
38.99693016168999, -85.62806461333443	Jennings County	Indiana
40.955847659443606, -87.3975365436696	Newton County	Indiana
40.72918665367333, -85.22121988650113	Wells County	Indiana
42.037212409494636, -95.38196768319202	Crawford County	Iowa
41.68603892121032, -93.05376467250834	Jasper County	Iowa
42.121237132897434, -91.13146526007105	Jones County	Iowa
42.42794333801896, -94.18176522768877	Webster County	Iowa
43.29069082169292, -91.84370108245919	Winneshiek County	Iowa
37.55924152749185, -95.74338876699903	Wilson County	Kansas
37.795749205265544, -87.57301678036616	Henderson County	Kentucky
38.44846784353353, -85.11892968349035	Henry County	Kentucky
37.87201971868803, -84.58094030694053	Jessamine County	Kentucky
37.11067068525543, -84.11780024997286	Laurel County	Kentucky
37.552534165951926, -85.26963134818584	Marion County	Kentucky
37.94137824990091, -83.59887137147481	Menifee County	Kentucky
36.99357678337163, -86.42379940237485	Warren County	Kentucky
36.80126535132535, -84.8286309357725	Wayne County	Kentucky
29.337520977305648, -90.83770714033109	Terrebonne Parish	Louisiana
42.59367321049634, -86.29176520899819	Allegan County	Michigan
43.98789184350316, -84.84786067694016	Clare County	Michigan
45.79163643908058, -86.8705966546102	Delta County	Michigan
42.24848739867577, -84.42343726286785	Jackson County	Michigan
48.77666941189219, -96.78279639296194	Kittson County	Minnesota
47.87169448326147, -96.09530376697901	Red Lake County	Minnesota
45.28273094128172, -95.68148055216669	Swift County	Minnesota
31.7342054989826, -91.03717910392179	Jefferson County	Mississippi
30.66097001317754, -87.74984057554704	Baldwin County	Alabama
32.762664135648336, -87.62911782041336	Hale County	Alabama
32.59101748419118, -88.19878961930895	Sumter County	Alabama
33.380061478048496, -86.16590384214001	Talladega County	Alabama
36.04123524512269, -91.10700680326488	Lawrence County	Arkansas
35.00256451062511, -93.41086542066625	Yell County	Arkansas
38.00374049263195, -108.40592213400387	San Miguel County	Colorado
29.983066639648587, -81.85788466484198	Clay County	Florida
30.52719981461785, -87.31435710837695	Escambia County	Florida
30.795391265024953, -85.2154597287027	Jackson County	Florida
