"Notes"	"Cancer Sites"	"Cancer Sites Code"	"States"	"States Code"	"Year"	"Year Code"	Count	Population	Age-Adjusted Rate
	"All Invasive Cancer Sites Combined"	"0"	"Alabama"	"01"	"2014"	"2014"	25712	4843737	444.5
	"All Invasive Cancer Sites Combined"	"0"	"Alaska"	"02"	"2014"	"2014"	2853	737075	431.0
	"All Invasive Cancer Sites Combined"	"0"	"Arizona"	"04"	"2014"	"2014"	31514	6732873	400.3
	"All Invasive Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2014"	"2014"	16660	2968759	471.0
	"All Invasive Cancer Sites Combined"	"0"	"California"	"06"	"2014"	"2014"	167786	38586706	412.3
	"All Invasive Cancer Sites Combined"	"0"	"Colorado"	"08"	"2014"	"2014"	22923	5352637	405.7
	"All Invasive Cancer Sites Combined"	"0"	"Connecticut"	"09"	"2014"	"2014"	20952	3595697	476.5
	"All Invasive Cancer Sites Combined"	"0"	"Delaware"	"10"	"2014"	"2014"	5779	933131	497.3
	"All Invasive Cancer Sites Combined"	"0"	"District of Columbia"	"11"	"2014"	"2014"	2981	663603	456.3
	"All Invasive Cancer Sites Combined"	"0"	"Florida"	"12"	"2014"	"2014"	128187	19853880	477.2
	"All Invasive Cancer Sites Combined"	"0"	"Georgia"	"13"	"2014"	"2014"	49178	10071204	469.0
	"All Invasive Cancer Sites Combined"	"0"	"Hawaii"	"15"	"2014"	"2014"	7048	1415335	410.6
	"All Invasive Cancer Sites Combined"	"0"	"Idaho"	"16"	"2014"	"2014"	7970	1632248	442.7
	"All Invasive Cancer Sites Combined"	"0"	"Illinois"	"17"	"2014"	"2014"	68302	12885092	469.8
	"All Invasive Cancer Sites Combined"	"0"	"Indiana"	"18"	"2014"	"2014"	34992	6596019	467.1
	"All Invasive Cancer Sites Combined"	"0"	"Iowa"	"19"	"2014"	"2014"	18142	3110643	485.0
	"All Invasive Cancer Sites Combined"	"0"	"Kansas"	"20"	"2014"	"2014"	14855	2901861	455.5
	"All Invasive Cancer Sites Combined"	"0"	"Kentucky"	"21"	"2014"	"2014"	27234	4416992	526.4
	"All Invasive Cancer Sites Combined"	"0"	"Louisiana"	"22"	"2014"	"2014"	25065	4645938	485.0
	"All Invasive Cancer Sites Combined"	"0"	"Maine"	"23"	"2014"	"2014"	8868	1331217	484.3
	"All Invasive Cancer Sites Combined"	"0"	"Maryland"	"24"	"2014"	"2014"	30668	5960064	453.5
	"All Invasive Cancer Sites Combined"	"0"	"Massachusetts"	"25"	"2014"	"2014"	37015	6764864	460.7
	"All Invasive Cancer Sites Combined"	"0"	"Michigan"	"26"	"2014"	"2014"	54087	9932033	449.4
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"2014"	"2014"	28826	5452665	460.6
	"All Invasive Cancer Sites Combined"	"0"	"Mississippi"	"28"	"2014"	"2014"	16154	2991892	474.6
	"All Invasive Cancer Sites Combined"	"0"	"Missouri"	"29"	"2014"	"2014"	33397	6059130	460.3
	"All Invasive Cancer Sites Combined"	"0"	"Montana"	"30"	"2014"	"2014"	5834	1022657	450.2
	"All Invasive Cancer Sites Combined"	"0"	"Nebraska"	"31"	"2014"	"2014"	9652	1879955	452.0
	"All Invasive Cancer Sites Combined"	"0"	"Nevada"	"32"	"2014"	"2014"	12586	2818935	400.9
	"All Invasive Cancer Sites Combined"	"0"	"New Hampshire"	"33"	"2014"	"2014"	8140	1334257	481.7
	"All Invasive Cancer Sites Combined"	"0"	"New Jersey"	"34"	"2014"	"2014"	51107	8867277	487.3
	"All Invasive Cancer Sites Combined"	"0"	"New Mexico"	"35"	"2014"	"2014"	9342	2090236	384.2
	"All Invasive Cancer Sites Combined"	"0"	"New York"	"36"	"2014"	"2014"	112176	19653431	487.4
	"All Invasive Cancer Sites Combined"	"0"	"North Carolina"	"37"	"2014"	"2014"	54539	9937295	473.9
	"All Invasive Cancer Sites Combined"	"0"	"North Dakota"	"38"	"2014"	"2014"	3704	738736	451.0
	"All Invasive Cancer Sites Combined"	"0"	"Ohio"	"39"	"2014"	"2014"	65572	11606573	466.4
	"All Invasive Cancer Sites Combined"	"0"	"Oklahoma"	"40"	"2014"	"2014"	20031	3879187	457.2
	"All Invasive Cancer Sites Combined"	"0"	"Oregon"	"41"	"2014"	"2014"	21650	3965447	448.7
	"All Invasive Cancer Sites Combined"	"0"	"Pennsylvania"	"42"	"2014"	"2014"	79069	12792392	487.0
	"All Invasive Cancer Sites Combined"	"0"	"Rhode Island"	"44"	"2014"	"2014"	6425	1056511	496.6
	"All Invasive Cancer Sites Combined"	"0"	"South Carolina"	"45"	"2014"	"2014"	26769	4826858	459.7
	"All Invasive Cancer Sites Combined"	"0"	"South Dakota"	"46"	"2014"	"2014"	4653	849670	471.1
	"All Invasive Cancer Sites Combined"	"0"	"Tennessee"	"47"	"2014"	"2014"	35359	6544617	458.3
	"All Invasive Cancer Sites Combined"	"0"	"Texas"	"48"	"2014"	"2014"	109104	26963092	416.8
	"All Invasive Cancer Sites Combined"	"0"	"Utah"	"49"	"2014"	"2014"	10209	2938327	406.5
	"All Invasive Cancer Sites Combined"	"0"	"Vermont"	"50"	"2014"	"2014"	3814	625693	469.1
	"All Invasive Cancer Sites Combined"	"0"	"Virginia"	"51"	"2014"	"2014"	39700	8315430	425.3
	"All Invasive Cancer Sites Combined"	"0"	"Washington"	"53"	"2014"	"2014"	36123	7057531	456.4
	"All Invasive Cancer Sites Combined"	"0"	"West Virginia"	"54"	"2014"	"2014"	11707	1850569	478.5
	"All Invasive Cancer Sites Combined"	"0"	"Wisconsin"	"55"	"2014"	"2014"	32670	5753199	473.8
	"All Invasive Cancer Sites Combined"	"0"	"Wyoming"	"56"	"2014"	"2014"	2676	583159	403.7
	"Oral Cavity and Pharynx"	"20010-20100"	"Alabama"	"01"	"2014"	"2014"	756	4843737	13.0
	"Oral Cavity and Pharynx"	"20010-20100"	"Alaska"	"02"	"2014"	"2014"	77	737075	9.8
	"Oral Cavity and Pharynx"	"20010-20100"	"Arizona"	"04"	"2014"	"2014"	798	6732873	9.9
	"Oral Cavity and Pharynx"	"20010-20100"	"Arkansas"	"05"	"2014"	"2014"	503	2968759	14.0
	"Oral Cavity and Pharynx"	"20010-20100"	"California"	"06"	"2014"	"2014"	4320	38586706	10.3
	"Oral Cavity and Pharynx"	"20010-20100"	"Colorado"	"08"	"2014"	"2014"	624	5352637	10.6
	"Oral Cavity and Pharynx"	"20010-20100"	"Connecticut"	"09"	"2014"	"2014"	548	3595697	11.9
	"Oral Cavity and Pharynx"	"20010-20100"	"Delaware"	"10"	"2014"	"2014"	157	933131	13.7
	"Oral Cavity and Pharynx"	"20010-20100"	"District of Columbia"	"11"	"2014"	"2014"	70	663603	10.6
	"Oral Cavity and Pharynx"	"20010-20100"	"Florida"	"12"	"2014"	"2014"	3880	19853880	14.5
	"Oral Cavity and Pharynx"	"20010-20100"	"Georgia"	"13"	"2014"	"2014"	1379	10071204	12.7
	"Oral Cavity and Pharynx"	"20010-20100"	"Hawaii"	"15"	"2014"	"2014"	247	1415335	14.4
	"Oral Cavity and Pharynx"	"20010-20100"	"Idaho"	"16"	"2014"	"2014"	188	1632248	10.2
	"Oral Cavity and Pharynx"	"20010-20100"	"Illinois"	"17"	"2014"	"2014"	1785	12885092	12.0
	"Oral Cavity and Pharynx"	"20010-20100"	"Indiana"	"18"	"2014"	"2014"	974	6596019	12.8
	"Oral Cavity and Pharynx"	"20010-20100"	"Iowa"	"19"	"2014"	"2014"	478	3110643	12.6
	"Oral Cavity and Pharynx"	"20010-20100"	"Kansas"	"20"	"2014"	"2014"	398	2901861	11.8
	"Oral Cavity and Pharynx"	"20010-20100"	"Kentucky"	"21"	"2014"	"2014"	819	4416992	15.3
	"Oral Cavity and Pharynx"	"20010-20100"	"Louisiana"	"22"	"2014"	"2014"	734	4645938	13.8
	"Oral Cavity and Pharynx"	"20010-20100"	"Maine"	"23"	"2014"	"2014"	239	1331217	12.6
	"Oral Cavity and Pharynx"	"20010-20100"	"Maryland"	"24"	"2014"	"2014"	744	5960064	10.7
	"Oral Cavity and Pharynx"	"20010-20100"	"Massachusetts"	"25"	"2014"	"2014"	990	6764864	12.0
	"Oral Cavity and Pharynx"	"20010-20100"	"Michigan"	"26"	"2014"	"2014"	1479	9932033	12.1
	"Oral Cavity and Pharynx"	"20010-20100"	"Minnesota"	"27"	"2014"	"2014"	760	5452665	11.7
	"Oral Cavity and Pharynx"	"20010-20100"	"Mississippi"	"28"	"2014"	"2014"	464	2991892	13.4
	"Oral Cavity and Pharynx"	"20010-20100"	"Missouri"	"29"	"2014"	"2014"	933	6059130	12.5
	"Oral Cavity and Pharynx"	"20010-20100"	"Montana"	"30"	"2014"	"2014"	149	1022657	11.5
	"Oral Cavity and Pharynx"	"20010-20100"	"Nebraska"	"31"	"2014"	"2014"	255	1879955	12.0
	"Oral Cavity and Pharynx"	"20010-20100"	"Nevada"	"32"	"2014"	"2014"	356	2818935	10.7
	"Oral Cavity and Pharynx"	"20010-20100"	"New Hampshire"	"33"	"2014"	"2014"	217	1334257	12.2
	"Oral Cavity and Pharynx"	"20010-20100"	"New Jersey"	"34"	"2014"	"2014"	1155	8867277	10.7
	"Oral Cavity and Pharynx"	"20010-20100"	"New Mexico"	"35"	"2014"	"2014"	244	2090236	9.8
	"Oral Cavity and Pharynx"	"20010-20100"	"New York"	"36"	"2014"	"2014"	2550	19653431	10.9
	"Oral Cavity and Pharynx"	"20010-20100"	"North Carolina"	"37"	"2014"	"2014"	1465	9937295	12.4
	"Oral Cavity and Pharynx"	"20010-20100"	"North Dakota"	"38"	"2014"	"2014"	112	738736	12.9
	"Oral Cavity and Pharynx"	"20010-20100"	"Ohio"	"39"	"2014"	"2014"	1700	11606573	11.9
	"Oral Cavity and Pharynx"	"20010-20100"	"Oklahoma"	"40"	"2014"	"2014"	559	3879187	12.5
	"Oral Cavity and Pharynx"	"20010-20100"	"Oregon"	"41"	"2014"	"2014"	580	3965447	11.6
	"Oral Cavity and Pharynx"	"20010-20100"	"Pennsylvania"	"42"	"2014"	"2014"	1983	12792392	12.1
	"Oral Cavity and Pharynx"	"20010-20100"	"Rhode Island"	"44"	"2014"	"2014"	148	1056511	11.1
	"Oral Cavity and Pharynx"	"20010-20100"	"South Carolina"	"45"	"2014"	"2014"	729	4826858	12.3
	"Oral Cavity and Pharynx"	"20010-20100"	"South Dakota"	"46"	"2014"	"2014"	151	849670	15.0
	"Oral Cavity and Pharynx"	"20010-20100"	"Tennessee"	"47"	"2014"	"2014"	1015	6544617	12.8
	"Oral Cavity and Pharynx"	"20010-20100"	"Texas"	"48"	"2014"	"2014"	3057	26963092	11.3
	"Oral Cavity and Pharynx"	"20010-20100"	"Utah"	"49"	"2014"	"2014"	238	2938327	9.3
	"Oral Cavity and Pharynx"	"20010-20100"	"Vermont"	"50"	"2014"	"2014"	112	625693	13.3
	"Oral Cavity and Pharynx"	"20010-20100"	"Virginia"	"51"	"2014"	"2014"	1122	8315430	11.7
	"Oral Cavity and Pharynx"	"20010-20100"	"Washington"	"53"	"2014"	"2014"	1043	7057531	12.5
	"Oral Cavity and Pharynx"	"20010-20100"	"West Virginia"	"54"	"2014"	"2014"	351	1850569	14.3
	"Oral Cavity and Pharynx"	"20010-20100"	"Wisconsin"	"55"	"2014"	"2014"	900	5753199	12.5
	"Oral Cavity and Pharynx"	"20010-20100"	"Wyoming"	"56"	"2014"	"2014"	67	583159	9.9
	"Lip"	"20010"	"Alabama"	"01"	"2014"	"2014"	51	4843737	0.9
	"Lip"	"20010"	"Arizona"	"04"	"2014"	"2014"	36	6732873	0.5
	"Lip"	"20010"	"Arkansas"	"05"	"2014"	"2014"	22	2968759	0.6
	"Lip"	"20010"	"California"	"06"	"2014"	"2014"	302	38586706	0.7
	"Lip"	"20010"	"Colorado"	"08"	"2014"	"2014"	33	5352637	0.6
	"Lip"	"20010"	"Florida"	"12"	"2014"	"2014"	85	19853880	0.3
	"Lip"	"20010"	"Georgia"	"13"	"2014"	"2014"	37	10071204	0.4
	"Lip"	"20010"	"Illinois"	"17"	"2014"	"2014"	66	12885092	0.4
