"Notes"	"Cancer Sites"	"Cancer Sites Code"	"States"	"States Code"	Count	Population	Age-Adjusted Rate
	"All Invasive Cancer Sites Combined"	"0"	"Alabama"	"01"	27426	4891628	445.2
	"All Invasive Cancer Sites Combined"	"0"	"Alaska"	"02"	3011	736624	403.4
	"All Invasive Cancer Sites Combined"	"0"	"Arizona"	"04"	34165	7164228	381.8
	"All Invasive Cancer Sites Combined"	"0"	"Arkansas"	"05"	18499	3012161	490.4
	"All Invasive Cancer Sites Combined"	"0"	"California"	"06"	174813	39437463	395.9
	"All Invasive Cancer Sites Combined"	"0"	"Colorado"	"08"	25011	5697155	394.2
	"All Invasive Cancer Sites Combined"	"0"	"Connecticut"	"09"	21463	3574561	461.9
	"All Invasive Cancer Sites Combined"	"0"	"Delaware"	"10"	6046	966985	464.9
	"All Invasive Cancer Sites Combined"	"0"	"District of Columbia"	"11"	2919	704147	420.7
	"All Invasive Cancer Sites Combined"	"0"	"Florida"	"12"	137830	21254926	458.8
	"All Invasive Cancer Sites Combined"	"0"	"Georgia"	"13"	54680	10519389	467.1
	"All Invasive Cancer Sites Combined"	"0"	"Hawaii"	"15"	7623	1423102	413.6
	"All Invasive Cancer Sites Combined"	"0"	"Idaho"	"16"	9057	1752074	443.3
	"All Invasive Cancer Sites Combined"	"0"	"Illinois"	"17"	70172	12724685	459.3
	"All Invasive Cancer Sites Combined"	"0"	"Indiana"	"18"	36430	6698481	454.2
	"All Invasive Cancer Sites Combined"	"0"	"Iowa"	"19"	19378	3149900	492.1
	"All Invasive Cancer Sites Combined"	"0"	"Kansas"	"20"	15591	2912748	451.7
	"All Invasive Cancer Sites Combined"	"0"	"Kentucky"	"21"	28309	4464273	512.8
	"All Invasive Cancer Sites Combined"	"0"	"Louisiana"	"22"	27099	4664450	489.2
	"All Invasive Cancer Sites Combined"	"0"	"Maine"	"23"	9228	1340123	470.0
	"All Invasive Cancer Sites Combined"	"0"	"Maryland"	"24"	32814	6042153	449.2
	"All Invasive Cancer Sites Combined"	"0"	"Massachusetts"	"25"	37869	6885720	439.5
	"All Invasive Cancer Sites Combined"	"0"	"Michigan"	"26"	56616	9987286	442.6
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	32316	5608762	478.4
	"All Invasive Cancer Sites Combined"	"0"	"Mississippi"	"28"	17316	2982879	479.3
	"All Invasive Cancer Sites Combined"	"0"	"Missouri"	"29"	34304	6125986	445.6
	"All Invasive Cancer Sites Combined"	"0"	"Montana"	"30"	6560	1061818	462.3
	"All Invasive Cancer Sites Combined"	"0"	"Nebraska"	"31"	10867	1925512	481.6
	"All Invasive Cancer Sites Combined"	"0"	"New Hampshire"	"33"	8836	1355064	478.7
	"All Invasive Cancer Sites Combined"	"0"	"New Jersey"	"34"	54061	8891730	487.6
	"All Invasive Cancer Sites Combined"	"0"	"New Mexico"	"35"	9533	2093754	362.9
	"All Invasive Cancer Sites Combined"	"0"	"New York"	"36"	115844	19544098	477.9
	"All Invasive Cancer Sites Combined"	"0"	"North Carolina"	"37"	59181	10391358	464.2
	"All Invasive Cancer Sites Combined"	"0"	"North Dakota"	"38"	3904	760062	448.4
	"All Invasive Cancer Sites Combined"	"0"	"Ohio"	"39"	70279	11680892	473.8
	"All Invasive Cancer Sites Combined"	"0"	"Oklahoma"	"40"	20971	3943488	449.6
	"All Invasive Cancer Sites Combined"	"0"	"Oregon"	"41"	22282	4183538	417.8
	"All Invasive Cancer Sites Combined"	"0"	"Pennsylvania"	"42"	79803	12809107	468.1
	"All Invasive Cancer Sites Combined"	"0"	"Rhode Island"	"44"	6481	1059338	474.0
	"All Invasive Cancer Sites Combined"	"0"	"South Carolina"	"45"	28483	5091702	434.7
	"All Invasive Cancer Sites Combined"	"0"	"South Dakota"	"46"	4889	879386	455.3
	"All Invasive Cancer Sites Combined"	"0"	"Tennessee"	"47"	39038	6778180	465.7
	"All Invasive Cancer Sites Combined"	"0"	"Texas"	"48"	123401	28624564	421.6
	"All Invasive Cancer Sites Combined"	"0"	"Utah"	"49"	11717	3155153	413.1
	"All Invasive Cancer Sites Combined"	"0"	"Vermont"	"50"	3979	624802	457.4
	"All Invasive Cancer Sites Combined"	"0"	"Virginia"	"51"	40909	8510920	402.2
	"All Invasive Cancer Sites Combined"	"0"	"Washington"	"53"	38685	7526793	438.1
	"All Invasive Cancer Sites Combined"	"0"	"West Virginia"	"54"	12464	1805953	493.8
	"All Invasive Cancer Sites Combined"	"0"	"Wisconsin"	"55"	34395	5809319	465.9
	"All Invasive Cancer Sites Combined"	"0"	"Wyoming"	"56"	2851	579054	398.4
